area_code,sla_code,unemployed
105406251,105406251,1602
235204135,235204135,331
240052831,240052831,1381
240101371,240101371,272
240101374,240101374,276
240101375,240101375,160
240101376,240101376,83
240102834,240102834,65
240102835,240102835,194
240104901,240104901,171
240104904,240104904,403
105406252,105406252,966
240151011,240151011,268
240151014,240151014,88
240154250,240154250,153
240156430,240156430,184
240158249,240158249,0
240158349,240158349,0
240204851,240204851,274
240204854,240204854,425
240205621,240205621,137
240205622,240205622,141
105406253,105406253,792
240208149,240208149,0
245053351,245053351,194
245056671,245056671,31
245057170,245057170,901
245103352,245103352,74
245106701,245106701,385
245106704,245106704,83
245106705,245106705,126
245150111,245150111,134
245150112,245150112,129
105406254,105406254,1241
245156672,245156672,70
245158109,245158109,0
245158309,245158309,3
250052111,250052111,653
250052113,250052113,257
250052115,250052115,77
250052117,250052117,57
250156811,250156811,149
250156812,250156812,107
250156813,250156813,242
105450900,105450900,1797
250156814,250156814,186
250156815,250156815,374
255050831,255050831,134
255053811,255053811,755
255053814,255053814,963
255053815,255053815,815
255053818,255053818,66
255100834,255100834,101
255100835,255100835,633
255107458,255107458,19
105057201,105057201,652
105453800,105453800,1264
255108209,255108209,0
255200741,255200741,165
255200744,255200744,484
255206171,255206171,227
255206174,255206174,98
255206175,255206175,151
255208529,255208529,0
255208649,255208649,0
305011067,305011067,44
305011143,305011143,63
105456351,105456351,2763
305011146,305011146,127
305011187,305011187,44
305011227,305011227,162
305011274,305011274,48
305011277,305011277,175
305011304,305011304,170
305011315,305011315,145
305011378,305011378,37
305011421,305011421,241
305011427,305011427,71
105456354,105456354,1889
305011454,305011454,151
305011481,305011481,117
305011525,305011525,150
305011528,305011528,154
305011607,305011607,219
305011631,305011631,133
305031004,305031004,55
305031007,305031007,72
305031026,305031026,72
305031031,305031031,202
105530751,105530751,1971
305031048,305031048,145
305031132,305031132,42
305031151,305031151,184
305031162,305031162,94
305031206,305031206,127
305031241,305031241,49
305031244,305031244,75
305031255,305031255,70
305031271,305031271,57
305031293,305031293,276
105530752,105530752,3038
305031312,305031312,235
305031345,305031345,60
305031424,305031424,85
305031446,305031446,215
305031506,305031506,506
305031522,305031522,63
305031533,305031533,115
305031536,305031536,120
305031558,305031558,191
305031574,305031574,443
105530753,105530753,3599
305031618,305031618,58
305031623,305031623,143
305031634,305031634,89
305071018,305071018,13
305071034,305071034,216
305071037,305071037,135
305071045,305071045,97
305071053,305071053,90
305071064,305071064,163
305071072,305071072,276
105554100,105554100,155
305071075,305071075,70
305071078,305071078,189
305071084,305071084,47
305071121,305071121,98
305071127,305071127,167
305071135,305071135,132
305071138,305071138,102
305071167,305071167,124
305071173,305071173,53
305071176,305071176,331
105554700,105554700,486
305071184,305071184,159
305071203,305071203,99
305071211,305071211,124
305071217,305071217,89
305071222,305071222,41
305071236,305071236,67
305071288,305071288,479
305071296,305071296,77
305071301,305071301,99
305071306,305071306,117
105555350,105555350,361
305071318,305071318,139
305071323,305071323,48
305071326,305071326,146
305071353,305071353,85
305071375,305071375,82
305071383,305071383,92
305071386,305071386,52
305071408,305071408,36
305071435,305071435,76
305071442,305071442,35
105555950,105555950,1059
305071451,305071451,102
305071465,305071465,3
305071467,305071467,6
305071473,305071473,30
305071484,305071484,22
305071487,305071487,80
305071514,305071514,132
305071517,305071517,126
305071556,305071556,162
305071567,305071567,260
105057204,105057204,1090
105556700,105556700,2308
